Matches,FTHG,FTAG,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,FTR,FTG
CAR v LIV,0,2,0,0,0,7,17,2,6,6,5,5,10,1,1,0,0,-1,2
EVE v MU,4,0,2,0,1,15,7,8,1,11,7,10,2,1,1,0,0,1,4
CHE v BUR,2,2,2,2,0,22,6,9,3,9,4,10,1,2,1,0,0,0,4
TOT v BRI,1,0,0,0,0,29,6,5,1,7,13,6,3,1,2,0,0,1,1
WAT v SOU,1,1,0,1,-1,15,8,4,4,10,14,3,4,5,2,0,0,0,2
MU v MC,0,2,0,0,0,12,8,1,5,10,10,1,1,2,2,0,0,-1,2
WOL v ARS,3,1,3,0,1,11,11,3,1,12,9,5,5,2,3,0,0,1,4
LIV v HUD,5,0,3,0,1,21,5,7,1,5,14,4,4,0,0,0,0,1,5
BRI v NEW,1,1,0,1,-1,9,9,2,1,7,10,7,4,2,3,0,0,0,2
CRY v EVE,0,0,0,0,0,8,22,0,3,9,15,5,10,2,0,0,0,0,0
FUL v CAR,1,0,0,0,0,8,13,2,8,10,8,10,3,0,0,0,0,1,1
SOU v BOU,3,3,1,2,-1,22,9,7,5,8,9,9,3,2,1,0,0,0,6
TOT v WHM,0,1,0,0,0,14,16,4,7,3,8,2,7,0,2,0,0,-1,1
WAT v WOL,1,2,0,1,-1,10,11,1,4,10,11,4,5,3,2,0,0,-1,3
BUR v MC,0,1,0,0,0,2,25,0,7,5,7,0,6,1,1,0,0,-1,1
LEI v ARS,3,0,0,0,0,24,6,12,1,13,13,8,6,3,1,0,1,1,3
MU v CHE,1,1,1,1,0,7,16,5,3,9,14,6,6,3,2,0,0,0,2
EVE v BUR,2,0,2,0,1,20,5,6,1,8,9,8,1,0,2,0,0,1,2
BOU v TOT,1,0,0,0,0,20,11,6,5,11,12,10,6,1,5,0,2,1,1
CAR v CRY,2,3,1,2,-1,18,21,8,7,14,11,10,5,0,0,0,0,-1,5
NEW v LIV,2,3,1,2,-1,14,11,7,4,10,4,2,3,1,1,0,0,-1,5
WHM v SOU,3,0,1,0,1,17,11,6,1,2,11,2,7,1,1,0,0,1,3
WOL v FUL,1,0,0,0,0,19,6,6,2,10,15,7,1,1,3,0,0,1,1
ARS v BRI,1,1,1,0,1,20,11,8,5,9,14,16,3,5,2,0,0,0,2
CHE v WAT,3,0,0,0,0,19,15,9,3,6,12,6,6,0,1,0,0,1,3
HUD v MU,1,1,0,1,-1,7,23,3,7,10,10,3,7,1,1,0,0,0,2
MC v LEI,1,0,0,0,0,19,7,5,2,12,5,11,0,3,2,0,0,1,1
BRI v MC,1,4,1,2,-1,6,20,2,9,12,8,2,6,0,0,0,0,-1,5
BUR v ARS,1,3,0,0,0,14,17,5,6,11,3,4,5,5,1,0,0,-1,4
CRY v BOU,5,3,3,1,1,17,16,8,8,11,8,4,4,3,0,0,0,1,8
FUL v NEW,0,4,0,2,-1,16,13,2,6,6,8,5,5,1,0,0,0,-1,4
LEI v CHE,0,0,0,0,0,9,14,3,4,9,8,4,5,0,1,0,0,0,0
LIV v WOL,2,0,1,0,1,13,7,5,2,3,11,4,1,0,2,0,0,1,2
MU v CAR,0,2,0,1,-1,26,13,10,4,9,6,11,2,3,3,0,0,-1,2
SOU v HUD,1,1,1,0,1,10,10,3,3,8,6,4,3,0,1,0,0,0,2
TOT v EVE,2,2,1,0,1,11,17,3,9,10,13,7,4,0,2,0,0,0,4
WAT v WHM,1,4,0,2,-1,17,16,8,9,10,10,7,2,1,0,1,0,-1,5
