Matches,FTHG,FTAG,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,FTR,FTG
CRY v BUR,2,0,1,0,1,29,4,9,0,9,10,10,2,1,1,0,0,1,2
HUD v BRI,1,2,1,1,0,7,14,2,6,10,12,2,6,0,2,1,0,-1,3
LEI v WAT,2,0,2,0,1,7,8,3,0,7,6,4,8,2,1,0,1,1,2
MC v BOU,3,1,1,1,0,16,4,6,1,9,3,8,4,0,0,0,0,1,4
NEW v WHM,0,3,0,1,-1,16,7,4,4,10,10,7,3,3,3,0,0,-1,3
SOU v MU,2,2,2,2,0,16,11,6,5,12,13,3,5,4,4,0,0,0,4
ARS v TOT,4,2,1,2,-1,22,11,7,6,15,17,8,5,3,3,0,1,1,6
CHE v FUL,2,0,1,0,1,16,9,9,4,8,17,4,6,2,1,0,0,1,2
LIV v EVE,1,0,0,0,0,16,9,3,3,12,7,8,1,3,2,0,0,1,1
BOU v HUD,2,1,2,1,1,6,23,2,6,14,11,4,8,4,2,0,0,1,3
BRI v CRY,3,1,3,0,1,9,18,3,5,14,12,4,5,2,3,1,0,1,4
WAT v MC,1,2,0,1,-1,11,15,7,7,4,8,3,11,0,1,0,0,-1,3
WHM v CAR,3,1,0,0,0,17,9,11,5,10,10,10,4,1,2,0,0,1,4
BUR v LIV,1,3,0,0,0,10,18,6,12,10,3,5,9,1,0,0,0,-1,4
EVE v NEW,1,1,1,1,0,19,8,3,5,7,18,14,2,0,5,0,0,0,2
FUL v LEI,1,1,1,0,1,25,13,7,5,12,7,10,8,0,0,0,0,0,2
MU v ARS,2,2,1,1,0,10,9,7,4,13,10,4,4,3,3,0,0,0,4
TOT v SOU,3,1,1,0,1,13,18,8,5,7,5,8,6,0,0,0,0,1,4
WOL v CHE,2,1,0,1,-1,6,17,2,3,18,10,1,5,4,4,0,0,1,3
ARS v HUD,1,0,0,0,0,14,6,2,0,13,20,7,1,5,4,0,0,1,1
BOU v LIV,0,4,0,1,-1,8,10,2,4,9,11,6,6,2,1,0,0,-1,4
BUR v BRI,1,0,1,0,1,14,14,4,1,11,11,2,7,2,0,0,0,1,1
CAR v SOU,1,0,0,0,0,13,12,4,1,9,10,7,7,2,2,0,0,1,1
CHE v MC,2,0,1,0,1,8,14,5,4,12,11,1,13,2,0,0,0,1,2
LEI v TOT,0,2,0,1,-1,11,7,3,2,12,7,6,5,3,1,0,0,-1,2
MU v FUL,4,1,3,0,1,20,10,11,4,11,15,10,3,1,1,0,1,1,5
WHM v CRY,3,2,0,1,-1,13,8,6,4,10,8,5,3,1,2,0,0,1,5
NEW v WOL,1,2,1,1,0,12,13,4,6,10,17,4,6,2,5,1,0,-1,3
EVE v WAT,2,2,1,0,1,12,15,5,3,13,13,6,6,1,1,0,0,0,4
CRY v LEI,1,0,1,0,1,8,12,1,2,10,8,4,4,2,1,0,0,1,1
FUL v WHM,0,2,0,2,-1,16,6,4,3,14,10,6,4,2,1,0,0,-1,2
HUD v NEW,0,1,0,0,0,15,8,5,5,5,13,10,1,1,1,0,0,-1,1
MC v EVE,3,1,1,0,1,13,9,5,2,7,9,6,2,1,2,0,0,1,4
TOT v BUR,1,0,0,0,0,15,4,3,0,7,8,8,3,0,2,0,0,1,1
WAT v CAR,3,2,1,0,1,17,10,8,3,7,5,5,0,0,0,0,0,1,5
